grupo_edad,hombres,mujeres,total
< 1 año,30921,25953,28505
1-4,3957,3027,3505
5-14,2196,1809,2009
15-24,2619,4282,3426
25-34,3002,10421,6689
35-44,4062,8302,6180
45-54,6331,5553,5943
55-64,11287,7585,9396
65-74,18783,11467,14906
75-84,29406,19329,23644
85-89,41223,30052,34151
90-94,47417,36298,39763
95+,47222,37767,40165
